Runs,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Start Date Year,Start Date Months
37,54,1,1,68.51,3,caught,1,England,Kochi,2013-01-15,2013,1
77,79,9,2,97.46,3,not out,2,England,Ranchi,2013-01-19,2013,1
26,33,3,0,78.78,3,caught,2,England,Mohali,2013-01-23,2013,1
0,1,0,0,0.0,3,caught,1,England,Dharamsala,2013-01-27,2013,1
43,34,4,1,126.47,3,caught,1,England,Birmingham,2013-06-23,2013,6
11,21,0,1,52.38,3,caught,1,West Indies,Kingston,2013-06-30,2013,6
102,83,13,2,122.89,3,caught,1,West Indies,Port of Spain,2013-07-05,2013,7
115,108,13,1,106.48,3,caught,2,Zimbabwe,Harare,2013-07-24,2013,7
14,18,2,0,77.77,3,caught,1,Zimbabwe,Harare,2013-07-26,2013,7
68,88,5,1,77.27,3,not out,2,Zimbabwe,Harare,2013-07-28,2013,7
61,85,6,0,71.76,3,lbw,2,Australia,Pune,2013-10-13,2013,10
100,52,8,7,192.3,3,not out,2,Australia,Jaipur,2013-10-16,2013,10
68,73,9,0,93.15,3,caught,1,Australia,Mohali,2013-10-19,2013,10
115,66,18,1,174.24,3,not out,2,Australia,Nagpur,2013-10-30,2013,10
0,3,0,0,0.0,3,run out,1,Australia,Bengaluru,2013-11-02,2013,11
86,84,9,2,102.38,3,caught,2,West Indies,Kochi,2013-11-21,2013,11
99,100,9,0,99.0,3,caught,1,West Indies,Visakhapatnam,2013-11-24,2013,11
19,18,3,0,105.55,3,caught,2,West Indies,Kanpur,2013-11-27,2013,11
31,35,5,0,88.57,3,caught,2,South Africa,Johannesburg,2013-12-05,2013,12
0,5,0,0,0.0,3,caught,2,South Africa,Durban,2013-12-08,2013,12
123,111,11,2,110.81,3,caught,2,New Zealand,Napier,2014-01-19,2014,1
78,65,7,2,120.0,3,caught,2,New Zealand,Hamilton,2014-01-22,2014,1
2,10,0,0,20.0,2,caught,1,New Zealand,Hamilton,2014-01-28,2014,1
82,78,7,3,105.12,3,caught,2,New Zealand,Wellington,2014-01-31,2014,1
136,122,16,2,111.47,3,bowled,2,Bangladesh,Fatullah,2014-02-26,2014,2
0,3,0,0,0.0,3,caught,1,England,Cardiff,2014-08-27,2014,8
40,50,2,1,80.0,3,caught,2,England,Nottingham,2014-08-30,2014,8
1,3,0,0,33.33,3,not out,2,England,Birmingham,2014-09-02,2014,9
13,21,2,0,61.9,3,caught,2,England,Leeds,2014-09-05,2014,9
